"Cap waktu","Usia","Status","Apa yang menjadi bahan pertimbanganmu ketika membeli hijab?","Apakah kamu lebih menyukai pembelian hijab secara online atau offline?","Apa yang menjadi alasan utamamu lebih menyukai metode tersebut?","Apa kesulitan yang kamu hadapi ketika membeli jilbab secara online?","Jika terdapat aplikasi yang dapat memungkinkan kamu mencoba jilbab suatu brand, apakah menurutmu itu akan membantu?","Mengapa kamu berpikir demikian","Apa saja brand hijab yang kamu ketahui?","Apakah kamu mengetahui brand hijab Bohemian Era (bohemian.eraa)?"
"2023/11/06 5:55:31 PM GMT+7","18-30 tahun","Mahasiswa","Jenis bahan","Offline","Kesesuaian  warna","waktu pengantaran yang sangat lama","Ya","karena dengan adanya mencoba jilbab di suatu brand siapa tau bisa tertarik ","bella square, rabbani, inner","Tidak"
"2023/11/06 5:57:05 PM GMT+7","18-30 tahun","Bekerja","Jenis bahan;Ukuran;Warna","Offline","Kesesuaian  warna;Kesesuaian tekstur","Ketidaksesuaian produk dengan gambar dan bahan yang sulit untuk dideskripsikan dengan tulisan serta kesesuaian hasil pemakaian dengan bentuk wajah. ","Ya","Dapat membantu dalam memberikan penggambaran hasil pemakaian dengan kesesuaian bentuk wajah","Lafiye, daisy, umama","Tidak"
"2023/11/06 6:04:53 PM GMT+7","18-30 tahun","Mahasiswa","Jenis bahan","Online","Kesesuaian  warna;Kesesuaian tekstur","Barang tidak sesuai","Ya","Jika ada yg lebih mudah kenapa tidak?🤣
","Pashmina, ummama, bella square dan masih bnyak lagiii","Tidak"
"2023/11/06 6:06:03 PM GMT+7","18-30 tahun","Mahasiswa","Jenis bahan","Offline","Kesesuaian tekstur","tidak bisa cek bahan secara langsung","Ya","karena belum banyak e-ommerce yang memikirkan hal tersebut ","zoya, buttonscarves","Tidak"
"2023/11/06 6:07:35 PM GMT+7","18-30 tahun","Mahasiswa","Jenis bahan;Ukuran;Warna","Offline","Kesesuaian tekstur","Mengetahui bahan jilbab","Ya","Karna akan mempermudah untuk menentukan pilihan jilbab","Umama, Rabbani, Afra","Tidak"
"2023/11/06 6:11:06 PM GMT+7","18-30 tahun","Bekerja","Jenis bahan;Ukuran;Warna","Online","Kesesuaian  warna;Kesesuaian tekstur","Menentukan bahan","Ya","Karena lebih memudahkan","Umama, lozy, hijabbyaida","Tidak"
"2023/11/06 6:15:54 PM GMT+7","18-30 tahun","Mahasiswa","Jenis bahan;Warna","Online","Kesesuaian  warna","sering tidak restock ","Ya","karena bisa melihat apakah barang yg kita pakai cocok","bella square, saudia, button scarve, umama dll ","Tidak"
"2023/11/06 6:19:35 PM GMT+7","18-30 tahun","Mahasiswa","Jenis bahan;Warna","Online","Kesesuaian  warna;Kesesuaian tekstur;Penyocokan ukuran","Warna yang pas","Ya","Karna memudahkan saya dalam menentukan pilihan","Zoya, lafiye, rabani","Tidak"
"2023/11/06 6:26:13 PM GMT+7","18-30 tahun","Mahasiswa","Jenis bahan;Ukuran;Warna","Online","Kesesuaian  warna;Kesesuaian tekstur;Penyocokan ukuran","terkadang warna tidak sesuai dengan pamflet nya","Ya","gatau sih","umama, elzata,saudiarabia,zoya, rabbani","Ya"
"2023/11/06 6:27:45 PM GMT+7","18-30 tahun","Bekerja","Jenis bahan;Warna","Offline","Kesesuaian  warna;Kesesuaian tekstur","Mencocokan warna","Ya","Karena dapat melihat perkiraan yg tepat","Umama scarf, yudistya scarf, paris premium, bela square","Tidak"
"2023/11/06 6:28:09 PM GMT+7","18-30 tahun","Mahasiswa","Jenis bahan;Ukuran;Warna","Offline","Kesesuaian  warna;Kesesuaian tekstur;Penyocokan ukuran","Sulit menemukan warna kadang tidak sesuai","Ya","Karena akan mempermudah konsumen untuk membeli produk hijab","Saudi, rabbani, umamma, paris, belladquare","Tidak"
"2023/11/06 6:28:26 PM GMT+7","18-30 tahun","Tidak bekerja","Jenis bahan","Online","Kesesuaian  warna;Kesesuaian tekstur","terkadang bahan tidak sesuai yang kita inginkan","Ya","karena agar tau cocok apa tidak diwajah","lindahijab, lafiye, zoya","Tidak"
"2023/11/06 6:29:39 PM GMT+7","18-30 tahun","Bekerja","Jenis bahan;Ukuran;Warna","Offline","Kesesuaian  warna;Kesesuaian tekstur;Penyocokan ukuran","Tidak mengetahui nama jenis bahan","Ya","Karena akan lebih mudah untuk mengetahui jenis bahan yg digunakan dan sesuai dengan bentuk wajah diri ","Bela, azahra, paris, ","Tidak"
"2023/11/06 6:30:58 PM GMT+7","18-30 tahun","Bekerja","Jenis bahan","Offline","Kesesuaian  warna;Kesesuaian tekstur;Penyocokan ukuran","Sulit untuk mendapatkan bahan/tesktur jilbab dan warna yg diinginkan","Ya","Apabila aplikasi tersebut ada, maka lebih mudah untuk menyesuaikan dan mendapatkan jilbab yang sesuai dengan keinginan. ","Zoya, umama, bella square","Tidak"
"2023/11/06 6:35:27 PM GMT+7","18-30 tahun","Mahasiswa","Jenis bahan;Ukuran;Warna","Offline","Kesesuaian  warna","mencari warna yang seduai","Tidak","karena apapun jenis hijab tergantung kita akan membentuknya seperti apaa","rabbani, alawiya hijab","Tidak"
"2023/11/06 6:38:55 PM GMT+7","18-30 tahun","Mahasiswa","Jenis bahan","Online","Kesesuaian tekstur","Warna yg berbeda dgn foto dan aslinya","Ya","Karna pasti mempermukan banget ","Lafiye, umama, buttonscarf, saudi","Tidak"
"2023/11/06 6:38:58 PM GMT+7","18-30 tahun","Mahasiswa","Jenis bahan","Offline","Kesesuaian tekstur","tidak bisa melihat secara detail bahan","Ya","bisa melihat kira kira cocok atau engga tekait model dan warna","saudia, arabia, paris","Ya"
"2023/11/06 6:44:15 PM GMT+7","18-30 tahun","Mahasiswa","Jenis bahan;Ukuran;Warna","","Kesesuaian tekstur","Jika membeli online takut bahannya tidak sesuai jadi susah kalo di pakai","Ya","Karena sudah pasti terjamin cocok atau tidaknya di pakai jadi aplikasi tersebut sangat membantu","Robbani, bella square,paris,keenan.","Tidak"
"2023/11/06 6:45:35 PM GMT+7","18-30 tahun","Mahasiswa","Jenis bahan;Warna","Online","Kesesuaian  warna","mencari toko yang amanah dan menjual produk yang sesuai dengan deksripsi produk","Ya","membantu meminimalisir kesalahan dalam pemilihan warna dan motif","buttonscarves, wearringklamby, rabbani, elzatta, vanilla hijab","Tidak"
"2023/11/06 6:50:04 PM GMT+7","18-30 tahun","Bekerja","","Offline","Kesesuaian tekstur","Terkadang tidak sesuai dgn gambar ","Ya","Iya ","Bella square ","Ya"
"2023/11/06 7:04:31 PM GMT+7","18-30 tahun","Mahasiswa","Jenis bahan;Ukuran;Warna","Online","Penyocokan ukuran","kesesuain warna dan bahan","Ya","karena spesifik barangnya ","elzatta, rabbani, umama, buttonscrave, saudia","Tidak"
"2023/11/06 7:05:17 PM GMT+7","18-30 tahun","Mahasiswa","Jenis bahan;Warna","Online","Lebih banyak pilihan","Tidak bisa merasakan bahan dan warna cenderung lebih berbeda","Ya","Menemukan warna jibab yang pas dengan kulit","Lavie, haeylokal.id, lozyhijab","Tidak"
"2023/11/06 7:06:58 PM GMT+7","18-30 tahun","Mahasiswa","Jenis bahan","Online","hemat waktu kalau beli online","tidak bisa pegang bahan","Ya","karena bisa melihat cocok atau tidaknya ketika di wajah","lafiye, gonegani, fasadailywear, hi.hijabinaja, lozyhijab, buttonscarves, kamiidea","Tidak"
"2023/11/06 7:12:57 PM GMT+7","18-30 tahun","Mahasiswa","Jenis bahan;Ukuran;Warna","Offline","Kesesuaian  warna;Kesesuaian tekstur;Penyocokan ukuran","Warna kadang suka tidak sesuai","Ya","Karena jika saya dapat mencoba nya berarti saya akan tau apakah jilbab itu sesuai dengan apa yang saya inginkan","Bella square, paris dll","Tidak"
